Tanggal,Status,IpAddress,Nik
"09/18/23 07:03:00",0,"192.168.48.111","4738"
"09/18/23 07:05:00",0,"192.168.48.111","4936"
"09/18/23 07:05:00",0,"192.168.48.111","4719"
"09/18/23 07:06:00",0,"192.168.48.111","4516"
"09/18/23 07:07:00",0,"192.168.48.111","1429"
"09/18/23 07:07:00",0,"192.168.48.111","5029"
"09/18/23 07:08:00",0,"192.168.48.111","1838"
"09/18/23 07:11:00",0,"192.168.48.111","4724"
"09/18/23 07:12:00",0,"192.168.48.111","4978"
"09/18/23 07:14:00",0,"192.168.48.111","4354"
"09/18/23 07:15:00",0,"192.168.48.111","4323"
"09/18/23 07:17:00",0,"192.168.48.111","3842"
"09/18/23 07:19:00",0,"192.168.48.111","4891"
"09/18/23 07:22:00",0,"192.168.48.111","1588"
"09/18/23 07:22:00",0,"192.168.48.111","4795"
"09/18/23 07:23:00",0,"192.168.48.111","4487"
"09/18/23 07:26:00",0,"192.168.48.111","4934"
"09/18/23 07:29:00",0,"192.168.48.111","4846"
"09/18/23 07:32:00",0,"192.168.48.111","4796"
"09/18/23 07:33:00",0,"192.168.48.111","4935"
"09/18/23 07:37:00",0,"192.168.48.111","4977"
"09/18/23 07:39:00",0,"192.168.48.111","4534"
"09/18/23 07:46:00",0,"192.168.48.111","1858"
"09/18/23 07:47:00",0,"192.168.48.111","4767"
"09/18/23 07:49:00",0,"192.168.48.111","4877"
"09/18/23 07:50:00",0,"192.168.48.111","3047"
"09/18/23 07:50:00",0,"192.168.48.111","4905"
"09/18/23 07:50:00",0,"192.168.48.111","1535"
"09/18/23 07:51:00",0,"192.168.48.111","4376"
"09/18/23 07:51:00",0,"192.168.48.111","4895"
"09/18/23 07:51:00",0,"192.168.48.111","1223"
"09/18/23 07:51:00",0,"192.168.48.111","4898"
"09/18/23 07:53:00",0,"192.168.48.111","4684"
"09/18/23 07:55:00",0,"192.168.48.111","4976"
"09/18/23 07:55:00",0,"192.168.48.111","4200"
"09/18/23 07:55:00",0,"192.168.48.111","4806"
"09/18/23 07:57:00",0,"192.168.48.111","4769"
"09/18/23 07:57:00",0,"192.168.48.111","4667"
"09/18/23 08:00:00",0,"192.168.48.111","4342"
"09/18/23 08:02:00",0,"192.168.48.111","7047"
"09/18/23 08:03:00",0,"192.168.48.111","5022"
"09/18/23 08:04:00",0,"192.168.48.111","4867"
"09/18/23 08:12:00",0,"192.168.48.111","4966"
"09/18/23 08:25:00",0,"192.168.48.111","8064"
"09/18/23 02:04:00",0,"192.168.48.111","1363"
"09/18/23 02:07:00",0,"192.168.48.111","4975"
"09/18/23 02:11:00",0,"192.168.48.111","4268"
"09/18/23 02:22:00",0,"192.168.48.111","4709"
"09/18/23 02:25:00",0,"192.168.48.111","4433"
"09/18/23 02:27:00",0,"192.168.48.111","4866"
"09/18/23 02:30:00",0,"192.168.48.111","4782"
"09/18/23 02:33:00",0,"192.168.48.111","4811"
"09/18/23 02:34:00",0,"192.168.48.111","4735"
"09/18/23 02:38:00",0,"192.168.48.111","4733"
"09/18/23 02:47:00",0,"192.168.48.111","1419"
"09/18/23 02:49:00",0,"192.168.48.111","4781"
"09/18/23 03:00:00",0,"192.168.48.111","4824"
"09/18/23 03:02:00",0,"192.168.48.111","4442"
"09/18/23 03:02:00",0,"192.168.48.111","4276"
"09/18/23 03:02:00",0,"192.168.48.111","4409"
"09/18/23 03:02:00",0,"192.168.48.111","4756"
"09/18/23 03:02:00",0,"192.168.48.111","1850"
"09/18/23 03:03:00",0,"192.168.48.111","5020"
"09/18/23 03:03:00",0,"192.168.48.111","1475"
"09/18/23 03:03:00",0,"192.168.48.111","4922"
"09/18/23 03:03:00",0,"192.168.48.111","4788"
"09/18/23 03:03:00",0,"192.168.48.111","1856"
"09/18/23 03:03:00",0,"192.168.48.111","4830"
"09/18/23 03:04:00",0,"192.168.48.111","4417"
"09/18/23 03:04:00",0,"192.168.48.111","4599"
"09/18/23 03:04:00",0,"192.168.48.111","4630"
"09/18/23 03:04:00",0,"192.168.48.111","4852"
"09/18/23 03:04:00",0,"192.168.48.111","4779"
"09/18/23 03:05:00",0,"192.168.48.111","4525"
"09/18/23 03:05:00",0,"192.168.48.111","1389"
"09/18/23 03:06:00",0,"192.168.48.111","4927"
"09/18/23 03:07:00",0,"192.168.48.111","4617"
"09/18/23 03:07:00",0,"192.168.48.111","4938"
"09/18/23 03:07:00",0,"192.168.48.111","1579"
"09/18/23 03:08:00",0,"192.168.48.111","4591"
"09/18/23 03:09:00",0,"192.168.48.111","4629"
"09/18/23 03:10:00",0,"192.168.48.111","4924"
"09/18/23 03:10:00",0,"192.168.48.111","4819"
"09/18/23 03:13:00",0,"192.168.48.111","1576"
"09/18/23 03:13:00",0,"192.168.48.111","3787"
"09/18/23 03:14:00",0,"192.168.48.111","4673"
"09/18/23 03:18:00",0,"192.168.48.111","4386"
