Barcode,Nama,Date,Time
4409,,09-18-2023,03:02
4756,,09-18-2023,03:02
1850,,09-18-2023,03:02
5020,,09-18-2023,03:03
1475,,09-18-2023,03:03
4922,,09-18-2023,03:03
4788,,09-18-2023,03:03
1856,,09-18-2023,03:03
4830,,09-18-2023,03:03
4417,,09-18-2023,03:04
4599,,09-18-2023,03:04
4630,,09-18-2023,03:04
4852,,09-18-2023,03:04
4779,,09-18-2023,03:04
4525,,09-18-2023,03:05
1389,,09-18-2023,03:05
4927,,09-18-2023,03:06
4617,,09-18-2023,03:07
4938,,09-18-2023,03:07
1579,,09-18-2023,03:07
4591,,09-18-2023,03:08
4629,,09-18-2023,03:09
4924,,09-18-2023,03:10
4819,,09-18-2023,03:10
1576,,09-18-2023,03:13
3787,,09-18-2023,03:13
4673,,09-18-2023,03:14
4386,,09-18-2023,03:18
4382,,09-18-2023,03:19
5026,,09-18-2023,03:19
4718,,09-18-2023,03:21
1434,,09-18-2023,03:26
4611,,09-18-2023,03:27
4551,,09-18-2023,03:29
4695,,09-18-2023,03:31
4661,,09-18-2023,03:32
4827,,09-18-2023,03:42
1701,,09-18-2023,03:59
1462,,09-18-2023,03:59
1408,,09-18-2023,04:00
4905,,09-18-2023,04:00
4620,,09-18-2023,04:00
4469,,09-18-2023,04:00
4977,,09-18-2023,04:01
4856,,09-18-2023,04:01
4911,,09-18-2023,04:01
4904,,09-18-2023,04:01
5013,,09-18-2023,04:01
1821,,09-18-2023,04:01
4871,,09-18-2023,04:01
1439,,09-18-2023,04:02
1852,,09-18-2023,04:02
1550,,09-18-2023,04:02
4910,,09-18-2023,04:03
4446,,09-18-2023,04:03
4616,,09-18-2023,04:03
1417,,09-18-2023,04:03
4303,,09-18-2023,04:03
4899,,09-18-2023,04:03
4684,,09-18-2023,04:03
4518,,09-18-2023,04:03
4637,,09-18-2023,04:03
4375,,09-18-2023,04:03
4447,,09-18-2023,04:04
4449,,09-18-2023,04:04
4309,,09-18-2023,04:04
5039,,09-18-2023,04:04
3358,,09-18-2023,04:04
4646,,09-18-2023,04:04
4845,,09-18-2023,04:04
3047,,09-18-2023,04:05
4898,,09-18-2023,04:05
3499,,09-18-2023,04:05
4534,,09-18-2023,04:06
4971,,09-18-2023,04:06
4943,,09-18-2023,04:06
4584,,09-18-2023,04:07
4917,,09-18-2023,04:07
4292,,09-18-2023,04:08
4807,,09-18-2023,04:08
4354,,09-18-2023,04:08
4554,,09-18-2023,04:09
4465,,09-18-2023,04:09
4369,,09-18-2023,04:09
4796,,09-18-2023,04:09
4895,,09-18-2023,04:09
4877,,09-18-2023,04:09
4870,,09-18-2023,04:10
4800,,09-18-2023,04:11
1512,,09-18-2023,04:12
4806,,09-18-2023,04:12
1479,,09-18-2023,04:12
4316,,09-18-2023,04:13
3005,,09-18-2023,04:14
4916,,09-18-2023,04:15
1205,,09-18-2023,04:15
7018,,09-18-2023,04:16
1223,,09-18-2023,04:17
4991,,09-18-2023,04:17
4260,,09-18-2023,04:20
4792,,09-18-2023,04:23
4773,,09-18-2023,04:27
4608,,09-18-2023,04:37
3013,,09-18-2023,04:40
4340,,09-18-2023,04:40
7047,,09-18-2023,04:42
4597,,09-18-2023,04:50
4659,,09-18-2023,04:53
4481,,09-18-2023,04:57
4737,,09-18-2023,05:00
4846,,09-18-2023,05:01
3339,,09-18-2023,05:01
4540,,09-18-2023,05:01
4489,,09-18-2023,05:01
4173,,09-18-2023,05:01
4618,,09-18-2023,05:02
6003,,09-18-2023,05:02
5053,,09-18-2023,05:02
4505,,09-18-2023,05:02
4301,,09-18-2023,05:02
6005,,09-18-2023,05:03
4468,,09-18-2023,05:03
4965,,09-18-2023,05:04
4969,,09-18-2023,05:04
4556,,09-18-2023,05:04
4900,,09-18-2023,05:04
4906,,09-18-2023,05:05
4759,,09-18-2023,05:05
6004,,09-18-2023,05:05
4523,,09-18-2023,05:06
4727,,09-18-2023,05:06
4530,,09-18-2023,05:06
4776,,09-18-2023,05:06
4452,,09-18-2023,05:07
4930,,09-18-2023,05:08
4955,,09-18-2023,05:08
4964,,09-18-2023,05:09
4491,,09-18-2023,05:10
4453,,09-18-2023,05:15
1350,,09-18-2023,05:29
1431,,09-18-2023,05:41
3598,,09-18-2023,05:41
4908,,09-18-2023,05:42
1770,,09-18-2023,05:47
1827,,09-18-2023,05:50
1374,,09-18-2023,05:55
1791,,09-18-2023,06:00
4427,,09-18-2023,06:00
1374,,09-18-2023,06:00
1288,,09-18-2023,06:01
1842,,09-18-2023,06:01
1849,,09-18-2023,06:01
1593,,09-18-2023,06:04
1368,,09-18-2023,06:06
1292,,09-18-2023,06:07
1843,,09-18-2023,06:09
